Gene_ID,Brain,Spinal,Kidney,Heart,Sk_muscle,Main_EO,Sach_EO,Hunter_EO
scaffold319.g4,86.2,157.2,231.1,4.4,2.3,0,0,13
scaffold319.g5,95.8,224.1,44.3,1.3,5.5,0,0,15.3
scaffold319.g6,112.4,224.1,201.5,4.2,3,0,0,33.1
scaffold319.g7,629.2,1349.2,3002,30,27.2,2.8,7,62.2
scaffold319.g8,14.3,14.7,8.3,30,22.7,0.7,7,3
scaffold319.g9,301.3,583,750.8,375,1873.5,473.9,383.8,494.6
scaffold3193.g1,0,1.2,165.5,0,0,1.2,1.2,0
scaffold3193.g2,28.9,87.8,83.5,34.7,27.7,18.5,20.2,18.9
scaffold3193.g3,310.1,328.5,735.1,196.7,201.3,449.8,306.1,215.2
scaffold3193.g4,158.9,237.3,124.9,58.9,27.5,51.2,33,15.4
scaffold3194.g1,67.6,96.5,375.7,365.3,284.1,416.4,380,478.8
scaffold3194.g2,961,2613.2,3547.3,864.5,403.7,599.8,550.9,532.5
scaffold3194.g3,0,1.1,0,0,0,0,0,0
scaffold3194.g4,1.4,0.8,0,0,0,0.8,0,0
scaffold3194.g5,751.2,3476.5,1516.6,544.9,1075.8,2305.9,2081.1,2439.6
scaffold3194.g6,909.5,641.2,555.6,1203.1,2058.3,2980.3,2333.5,2556.6
scaffold3194.g7,212.1,147.5,330.3,791.4,358.4,178.4,236.8,235.9
scaffold3194.g8,694.5,860.5,7.3,87,98.4,87.3,100,119.2
scaffold3196.g1,90,159.4,73.7,156,344.9,107.5,192.5,185.4
scaffold3196.g10,267.3,285.3,568.1,460.1,366.9,680.1,613.5,538.8
scaffold3196.g11,402,248.2,67.8,321.9,209,182.9,189.1,175.3
scaffold3196.g12,249.5,295.6,118.6,564.5,249.6,306.5,298.3,331.7
scaffold3196.g13,265.7,158.4,101.7,161.1,130,477.4,226.9,292.5
scaffold3196.g14,303.1,260.2,186.9,234,423.9,356.2,345.6,359.5
scaffold3196.g15,918,838.3,394.6,422.5,225.2,620.9,388,272.5
scaffold3196.g2,663.4,1354.6,1532.3,3691,4053.1,2871.2,2512.3,3106.9
scaffold3196.g3,10.2,21.2,227.7,45.6,17.6,25.6,21.6,21.2
scaffold3196.g4,363.7,382.7,402.8,302.3,224.3,186.4,208.8,255.7
scaffold3196.g5,339,209.1,97.9,628.6,282.2,767.1,843.9,561.9
scaffold3196.g6,672.7,506.1,377.9,1091.5,672.4,1524.4,1431.7,1572.3
scaffold3196.g7,161.2,74.1,219.4,155.4,90.1,53.4,47.4,58.7
scaffold3196.g8,1183.7,615,1865.6,979.9,1613.2,1683.4,1726.5,1800
scaffold3196.g9,293.6,340.4,402.6,278.1,220,335.3,250,303.3
scaffold3199.g1,0,0,26.2,0,0,0,0,0
scaffold3199.g2,0,0,1401.8,0,0,0,0,4.1
scaffold3199.g3,28.2,20.6,307.9,14.4,9.8,10,4.6,6.7
scaffold3199.g4,11605.8,23982.5,82625.1,17582,53338.9,24513.9,28140.6,25643.6
scaffold3199.g5,6.2,2.1,3.9,2.6,4.5,3.1,2.1,4.5
scaffold3199.g6,53.3,49.1,64.6,87.9,11.1,9.6,10.3,12
scaffold3199.g7,8.4,1,0,4.2,0,4.7,4.7,3.4
scaffold3199.g8,7.5,5,2.1,0.6,79,1.9,17.7,1.4
scaffold320.g1,810.3,242.2,4.2,260.4,77.6,477.1,197.9,503.1
scaffold320.g2,286.4,283.1,828.7,772.2,52.2,24.9,46.2,62.6
scaffold3201.g1,371.8,487.7,83.8,806.2,574.1,330.8,331.6,456.3
scaffold3204.g1,53.8,78.7,3.1,13.8,3.7,0,1.1,0
scaffold3215.g1,386.8,278.1,29.9,531.2,1057.3,1631.4,1407.2,1404
scaffold3215.g2,0.9,170.2,0,0,0,0,0,0
scaffold3220.g1,852.2,732.5,770,962.7,1561.7,1107.9,954.6,1035.9
scaffold3220.g2,397.8,1481,119.2,585.3,1277.2,1658.5,1383.4,1455.6
scaffold3220.g3,333.1,1401.6,104.8,505,1040.7,1319,1194,1102.9
